id;first_name;last_name;email;telephone;status
1;Margarette;Homenick;Adrian8@gmail.com;1-380-601-2692 x423;RESTRICTED
2;Noah;Jenkins;Arden_Kihn21@yahoo.com;286-978-9706 x360;RESTRICTED
3;Aubree;Rippin;Fernando.Balistreri@gmail.com;1-826-797-5605;DISABLED
4;Amari;Torphy;Oren.Beahan@hotmail.com;248.414.7846;AVAILABLE
5;Darrel;Nicolas;Carroll.Muller@hotmail.com;1-293-388-7522;AVAILABLE
6;Bartholome;Marquardt;Taryn_Sanford@hotmail.com;218-297-6879 x9997;AVAILABLE
7;Ericka;Hauck;Sidney.Lind90@gmail.com;(708) 893-4363 x58061;DISABLED
8;Jaclyn;Howell;Cornelius_Koepp@hotmail.com;(246) 501-9445;AVAILABLE
9;Lew;Pouros;Anais66@yahoo.com;591.402.3152;DISABLED
10;Nicola;Kub;Cedrick_Labadie19@hotmail.com;1-527-686-1289 x86020;DISABLED
